                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.93917,                0.77686,                 1.2218,                0.86035,                0.80976,                 0.8651,                0.59152,                 1.1556,                0.80535,                 1.4169,             0.00090785,             0.00090785,             0.00090785
                     48,                0.93157,                 0.7673,                 1.2232,                 0.8699,                0.82304,                0.88633,                0.59656,                 1.1672,                0.78367,                 1.4383,             0.00089134,             0.00089134,             0.00089134
                     49,                0.93554,                 0.7595,                 1.2207,                 0.8254,                0.87041,                0.87596,                0.59074,                 1.1504,                0.77948,                 1.4325,             0.00087484,             0.00087484,             0.00087484
                     50,                0.92267,                0.75648,                 1.2148,                 0.8638,                 0.8308,                0.87278,                0.59522,                 1.1687,                0.80009,                 1.4376,             0.00085834,             0.00085834,             0.00085834
                     51,                0.90679,                0.74423,                 1.1977,                0.86389,                0.85926,                0.88511,                0.60536,                 1.1376,                0.74184,                 1.4186,             0.00084184,             0.00084184,             0.00084184
                     52,                0.91567,                0.74655,                 1.2122,                0.88181,                0.80628,                0.87737,                0.59635,                   1.13,                0.78103,                 1.3961,             0.00082533,             0.00082533,             0.00082533
                     53,                0.88766,                0.73181,                 1.1893,                0.87441,                0.82695,                0.87706,                0.59903,                 1.1305,                0.77624,                 1.4159,             0.00080883,             0.00080883,             0.00080883
                     54,                0.90019,                 0.7323,                 1.2004,                0.87856,                0.83442,                0.88028,                0.60602,                 1.1479,                0.78503,                 1.4072,             0.00079233,             0.00079233,             0.00079233
                     55,                0.89634,                0.71327,                 1.1884,                0.88582,                0.83768,                0.87298,                0.60797,                 1.1291,                0.76546,                  1.402,             0.00077582,             0.00077582,             0.00077582
                     56,                0.87061,                0.69659,                 1.1771,                0.87526,                0.84849,                0.87596,                0.60386,                 1.1335,                0.76747,                 1.4143,             0.00075932,             0.00075932,             0.00075932
                     57,                0.86847,                0.69401,                 1.1757,                0.87229,                0.84181,                 0.8733,                0.60092,                 1.1394,                0.76178,                 1.4198,             0.00074282,             0.00074282,             0.00074282
                     58,                0.87765,                0.71039,                 1.1757,                 0.8899,                0.81819,                0.87335,                0.59291,                 1.1608,                0.77588,                  1.436,             0.00072631,             0.00072631,             0.00072631
                     59,                 0.8601,                0.68545,                 1.1646,                0.87403,                0.84636,                0.87988,                0.60706,                 1.1214,                0.75548,                 1.4043,             0.00070981,             0.00070981,             0.00070981
                     60,                0.85432,                0.68518,                 1.1725,                0.87392,                0.84004,                0.88363,                 0.6008,                  1.144,                0.74273,                 1.4167,             0.00069331,             0.00069331,             0.00069331
                     61,                0.84291,                0.65548,                 1.1543,                0.89927,                 0.8448,                0.89193,                0.61818,                 1.1254,                0.72928,                 1.4014,              0.0006768,              0.0006768,              0.0006768
                     62,                0.83313,                0.64569,                 1.1502,                0.88396,                0.85037,                0.89546,                0.60871,                 1.1354,                0.72087,                 1.4077,              0.0006603,              0.0006603,              0.0006603
                     63,                 0.8487,                0.65725,                 1.1593,                0.85251,                0.84964,                0.87993,                0.59836,                 1.1284,                0.74757,                 1.4001,              0.0006438,              0.0006438,              0.0006438
                     64,                0.82266,                0.63734,                 1.1383,                0.89227,                0.84149,                 0.8896,                0.60729,                 1.1349,                0.74851,                 1.4094,             0.00062729,             0.00062729,             0.00062729
                     65,                0.82507,                0.63992,                 1.1459,                0.87755,                0.84361,                0.89666,                0.61636,                 1.1464,                0.73104,                 1.4228,             0.00061079,             0.00061079,             0.00061079
                     66,                0.80324,                0.62327,                   1.13,                0.87064,                0.85481,                0.89007,                0.61908,                 1.1221,                 0.7356,                 1.3977,             0.00059429,             0.00059429,             0.00059429
                     67,                0.81079,                0.62328,                 1.1348,                0.87162,                0.84251,                0.89058,                0.61309,                 1.1422,                0.74252,                 1.4282,             0.00057778,             0.00057778,             0.00057778
