                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.3333,                0.63963,                 1.1298,                0.90677,                0.91751,                0.94017,                0.54449,                 1.5469,                0.66232,                 1.3016,               0.001109,               0.001109,               0.001109
                     47,                 1.2209,                0.58382,                 1.0868,                0.91639,                0.90863,                0.93793,                0.55223,                 1.5659,                0.64691,                 1.3203,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2153,                0.57736,                 1.0769,                0.92743,                0.90819,                0.94132,                0.54882,                   1.57,                0.63448,                 1.3322,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.204,                0.57069,                  1.075,                0.92132,                0.89721,                0.93497,                0.53374,                 1.5719,                0.64305,                 1.3312,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.193,                0.56392,                 1.0734,                0.91925,                0.90355,                0.93732,                 0.5521,                  1.552,                0.64348,                 1.3163,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2115,                0.57281,                 1.0808,                0.91971,                0.91244,                0.93862,                0.54426,                 1.5664,                0.64925,                 1.3196,                0.00101,                0.00101,                0.00101
                     52,                 1.3171,                0.62576,                 1.1154,                0.91547,                0.90609,                0.93628,                0.55274,                 1.5368,                0.63632,                 1.3008,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3074,                 0.6125,                  1.115,                0.91504,                0.91579,                0.93686,                0.55003,                 1.5327,                 0.6334,                 1.2966,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.299,                0.61226,                 1.1105,                 0.9142,                0.90591,                0.94018,                0.56258,                 1.5231,                0.61781,                 1.2972,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2964,                0.60415,                 1.1076,                 0.9091,                0.92646,                0.94307,                0.56335,                 1.5222,                0.61611,                 1.2986,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2916,                0.60141,                 1.1094,                0.92124,                0.90544,                0.93983,                0.54841,                  1.537,                 0.6215,                 1.2996,               0.000911,               0.000911,               0.000911
                     57,                 1.2875,                0.60265,                 1.1096,                0.89289,                0.92039,                0.94203,                0.54818,                 1.5544,                0.62726,                 1.3171,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2673,                0.58579,                 1.0954,                0.89949,                0.93147,                0.94136,                0.55607,                 1.5433,                 0.6337,                 1.3163,              0.0008714,              0.0008714,              0.0008714
