                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.99359,                0.83613,                 1.2638,                0.84505,                0.82082,                0.86422,                0.59545,                 1.1324,                0.83048,                 1.3929,             0.00087484,             0.00087484,             0.00087484
                     50,                0.97425,                 0.8378,                 1.2427,                0.84628,                0.80516,                0.84846,                0.57621,                 1.1804,                0.83866,                 1.4413,             0.00085834,             0.00085834,             0.00085834
                     51,                0.97405,                 0.8107,                 1.2385,                0.85658,                0.80433,                0.86254,                0.58099,                 1.1531,                0.84989,                 1.4117,             0.00084184,             0.00084184,             0.00084184
                     52,                0.95643,                0.79852,                  1.233,                0.84289,                0.82557,                0.85376,                0.57942,                 1.1543,                0.82733,                 1.4181,             0.00082533,             0.00082533,             0.00082533
                     53,                0.97773,                0.80843,                 1.2347,                0.87581,                 0.8234,                0.86336,                0.58787,                 1.1489,                 0.8322,                 1.4155,             0.00080883,             0.00080883,             0.00080883
                     54,                0.94683,                0.77544,                 1.2172,                0.82016,                0.83514,                0.86165,                0.59215,                 1.1352,                0.83951,                 1.3969,             0.00079233,             0.00079233,             0.00079233
                     55,                 0.9501,                0.79191,                 1.2244,                0.84159,                0.85449,                0.87347,                0.59091,                 1.1383,                0.80679,                 1.4065,             0.00077582,             0.00077582,             0.00077582
                     56,                0.93854,                0.77001,                 1.2154,                0.85598,                0.81712,                0.85647,                0.57467,                 1.1686,                0.84012,                 1.4254,             0.00075932,             0.00075932,             0.00075932
                     57,                0.92068,                0.75565,                 1.2055,                 0.8454,                0.82687,                0.85807,                0.58521,                 1.1398,                0.82994,                 1.3998,             0.00074282,             0.00074282,             0.00074282
                     58,                0.91847,                0.75792,                 1.2006,                0.87752,                0.81348,                0.86001,                 0.5953,                 1.1272,                0.80752,                 1.3963,             0.00072631,             0.00072631,             0.00072631
                     59,                0.92623,                0.75486,                 1.1992,                0.88575,                0.81717,                0.86256,                0.59178,                 1.1241,                0.78337,                  1.385,             0.00070981,             0.00070981,             0.00070981
                     60,                0.91012,                0.73111,                  1.189,                0.86289,                0.82475,                0.86635,                0.59513,                 1.1356,                0.80558,                 1.4019,             0.00069331,             0.00069331,             0.00069331
                     61,                0.90401,                0.74058,                 1.1945,                0.86682,                0.83956,                0.86867,                0.59922,                 1.1328,                0.77522,                 1.3945,              0.0006768,              0.0006768,              0.0006768
                     62,                0.88823,                0.71901,                  1.177,                0.85497,                0.84124,                0.87714,                 0.6046,                 1.1119,                0.78729,                 1.3734,              0.0006603,              0.0006603,              0.0006603
                     63,                0.89275,                 0.7174,                 1.1757,                0.87487,                0.82705,                0.87639,                0.60726,                 1.1021,                0.79124,                 1.3686,              0.0006438,              0.0006438,              0.0006438
                     64,                0.87707,                0.70509,                 1.1678,                0.86239,                0.84555,                0.87939,                0.60869,                 1.1091,                0.79215,                 1.3717,             0.00062729,             0.00062729,             0.00062729
                     65,                0.88416,                 0.7102,                 1.1762,                0.87482,                0.82112,                 0.8722,                0.60917,                 1.1071,                0.79434,                 1.3769,             0.00061079,             0.00061079,             0.00061079
                     66,                0.87815,                0.70237,                 1.1767,                0.85449,                0.83155,                0.87228,                0.61072,                 1.1166,                0.79054,                 1.3702,             0.00059429,             0.00059429,             0.00059429
                     67,                0.87632,                0.69284,                 1.1651,                 0.8788,                0.82425,                0.87062,                0.60242,                 1.1481,                0.76495,                 1.3962,             0.00057778,             0.00057778,             0.00057778
                     68,                0.87724,                0.69734,                 1.1724,                0.87346,                0.83281,                0.88507,                0.61349,                 1.1345,                0.76545,                 1.3895,             0.00056128,             0.00056128,             0.00056128
                     69,                0.84831,                0.66792,                 1.1529,                0.87124,                0.85212,                 0.8839,                0.61528,                  1.136,                0.77395,                 1.4065,             0.00054478,             0.00054478,             0.00054478
                     70,                0.85398,                0.67592,                 1.1634,                0.84362,                0.86539,                0.88611,                0.62307,                 1.0967,                0.74672,                 1.3707,             0.00052827,             0.00052827,             0.00052827
                     71,                0.83645,                0.65186,                 1.1497,                0.87738,                 0.8131,                0.87193,                 0.6074,                 1.1307,                 0.7796,                 1.3826,             0.00051177,             0.00051177,             0.00051177
